date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Mon, Feb 12, 2018|8:00p|Orlando Magic|101|Chicago Bulls|105|Box Score||18,611|
Mon, Feb 12, 2018|9:00p|San Antonio Spurs|99|Utah Jazz|101|Box Score||18,306|
Mon, Feb 12, 2018|10:30p|Phoenix Suns|83|Golden State Warriors|129|Box Score||19,596|
Tue, Feb 13, 2018|7:00p|Miami Heat|112|Toronto Raptors|115|Box Score||19,800|
Tue, Feb 13, 2018|8:00p|Atlanta Hawks|92|Milwaukee Bucks|97|Box Score||14,720|
Tue, Feb 13, 2018|8:00p|Houston Rockets|126|Minnesota Timberwolves|108|Box Score||18,978|
Tue, Feb 13, 2018|8:00p|Cleveland Cavaliers|120|Oklahoma City Thunder|112|Box Score||18,203|
Tue, Feb 13, 2018|8:30p|Sacramento Kings|114|Dallas Mavericks|109|Box Score||19,801|
Tue, Feb 13, 2018|10:30p|San Antonio Spurs|109|Denver Nuggets|117|Box Score||17,623|
Wed, Feb 14, 2018|7:00p|Atlanta Hawks|98|Detroit Pistons|104|Box Score||15,849|
Wed, Feb 14, 2018|7:00p|Charlotte Hornets|104|Orlando Magic|102|Box Score||18,428|
Wed, Feb 14, 2018|7:00p|Miami Heat|102|Philadelphia 76ers|104|Box Score||20,492|
Wed, Feb 14, 2018|7:30p|Indiana Pacers|108|Brooklyn Nets|103|Box Score||13,159|
Wed, Feb 14, 2018|7:30p|Washington Wizards|118|New York Knicks|113|Box Score||19,812|
Wed, Feb 14, 2018|8:00p|Los Angeles Clippers|129|Boston Celtics|119|Box Score||18,624|
Wed, Feb 14, 2018|8:00p|Toronto Raptors|122|Chicago Bulls|98|Box Score||21,006|
Wed, Feb 14, 2018|8:00p|Sacramento Kings|91|Houston Rockets|100|Box Score||18,055|
Wed, Feb 14, 2018|8:00p|Oklahoma City Thunder|121|Memphis Grizzlies|114|Box Score||16,012|
Wed, Feb 14, 2018|8:00p|Los Angeles Lakers|117|New Orleans Pelicans|139|Box Score||15,436|
Wed, Feb 14, 2018|9:00p|Phoenix Suns|97|Utah Jazz|107|Box Score||18,306|
Wed, Feb 14, 2018|10:30p|Golden State Warriors|117|Portland Trail Blazers|123|Box Score||19,520|
Thu, Feb 15, 2018|8:00p|Denver Nuggets|134|Milwaukee Bucks|123|Box Score||15,486|
Thu, Feb 15, 2018|9:00p|Los Angeles Lakers|111|Minnesota Timberwolves|119|Box Score||17,534|
Thu, Feb 22, 2018|7:00p|Brooklyn Nets|96|Charlotte Hornets|111|Box Score||14,112|
Thu, Feb 22, 2018|7:00p|New York Knicks|120|Orlando Magic|113|Box Score||18,846|
Thu, Feb 22, 2018|8:00p|Philadelphia 76ers|116|Chicago Bulls|115|Box Score||21,312|
Thu, Feb 22, 2018|8:00p|Washington Wizards|110|Cleveland Cavaliers|103|Box Score||20,562|
Thu, Feb 22, 2018|10:00p|Oklahoma City Thunder|110|Sacramento Kings|107|Box Score||17,583|
Thu, Feb 22, 2018|10:30p|Los Angeles Clippers|127|Golden State Warriors|134|Box Score||19,596|
Fri, Feb 23, 2018|7:00p|Boston Celtics|110|Detroit Pistons|98|Box Score||20,491|
Fri, Feb 23, 2018|7:00p|Atlanta Hawks|93|Indiana Pacers|116|Box Score||17,923|
Fri, Feb 23, 2018|7:00p|Charlotte Hornets|122|Washington Wizards|105|Box Score||17,824|
Fri, Feb 23, 2018|7:30p|Milwaukee Bucks|122|Toronto Raptors|119|Box Score|OT|20,047|
Fri, Feb 23, 2018|8:00p|Minnesota Timberwolves|102|Houston Rockets|120|Box Score||18,055|
Fri, Feb 23, 2018|8:00p|Cleveland Cavaliers|112|Memphis Grizzlies|89|Box Score||18,119|
Fri, Feb 23, 2018|8:00p|Miami Heat|123|New Orleans Pelicans|124|Box Score|OT|17,751|
Fri, Feb 23, 2018|9:00p|San Antonio Spurs|119|Denver Nuggets|122|Box Score||20,027|
Fri, Feb 23, 2018|9:00p|Los Angeles Clippers|128|Phoenix Suns|117|Box Score||17,126|
Fri, Feb 23, 2018|9:00p|Portland Trail Blazers|100|Utah Jazz|81|Box Score||18,306|
Fri, Feb 23, 2018|10:30p|Dallas Mavericks|102|Los Angeles Lakers|124|Box Score||18,997|
Sat, Feb 24, 2018|5:00p|Orlando Magic|105|Philadelphia 76ers|116|Box Score||20,594|
Sat, Feb 24, 2018|7:30p|Memphis Grizzlies|89|Miami Heat|115|Box Score||19,600|
Sat, Feb 24, 2018|7:30p|Boston Celtics|121|New York Knicks|112|Box Score||19,812|
Sat, Feb 24, 2018|8:30p|Oklahoma City Thunder|80|Golden State Warriors|112|Box Score||19,596|
Sat, Feb 24, 2018|9:00p|Chicago Bulls|104|Minnesota Timberwolves|122|Box Score||18,978|
Sat, Feb 24, 2018|9:00p|Portland Trail Blazers|106|Phoenix Suns|104|Box Score||17,112|
Sat, Feb 24, 2018|9:00p|Dallas Mavericks|90|Utah Jazz|97|Box Score||18,306|
Sat, Feb 24, 2018|10:00p|Los Angeles Lakers|113|Sacramento Kings|108|Box Score||17,583|
Sun, Feb 25, 2018|1:00p|Detroit Pistons|98|Charlotte Hornets|114|Box Score||17,894|
Sun, Feb 25, 2018|3:00p|New Orleans Pelicans|123|Milwaukee Bucks|121|Box Score|OT|18,717|
Sun, Feb 25, 2018|3:30p|San Antonio Spurs|110|Cleveland Cavaliers|94|Box Score||20,562|
Sun, Feb 25, 2018|8:00p|Houston Rockets|119|Denver Nuggets|114|Box Score||20,044|
Sun, Feb 25, 2018|8:00p|Philadelphia 76ers|94|Washington Wizards|109|Box Score||17,180|
Mon, Feb 26, 2018|7:30p|Los Angeles Lakers|123|Atlanta Hawks|104|Box Score||16,328|
