date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance
Wed, Apr 13, 2005|8:00p|Golden State Warriors|100|Minnesota Timberwolves|116|Box Score|15,239|
Wed, Apr 13, 2005|8:00p|Chicago Bulls|82|Washington Wizards|93|Box Score|18,181|
Wed, Apr 13, 2005|8:30p|Memphis Grizzlies|92|Houston Rockets|100|Box Score|17,060|
Wed, Apr 13, 2005|9:00p|New Orleans Hornets|102|Denver Nuggets|116|Box Score|17,316|
Wed, Apr 13, 2005|9:00p|San Antonio Spurs|91|Utah Jazz|93|Box Score|17,014|
Wed, Apr 13, 2005|10:30p|Dallas Mavericks|95|Seattle SuperSonics|90|Box Score|16,502|
Thu, Apr 14, 2005|8:00p|New York Knicks|95|Cleveland Cavaliers|89|Box Score|20,562|
Thu, Apr 14, 2005|8:00p|Miami Heat|119|Philadelphia 76ers|126|Box Score|OT|20,754
Thu, Apr 14, 2005|10:30p|Dallas Mavericks|102|Portland Trail Blazers|90|Box Score|17,074|
Fri, Apr 15, 2005|7:00p|New Jersey Nets|101|Toronto Raptors|90|Box Score|19,800|
Fri, Apr 15, 2005|7:30p|Miami Heat|99|Boston Celtics|101|Box Score|18,624|
Fri, Apr 15, 2005|8:00p|Milwaukee Bucks|73|Detroit Pistons|99|Box Score|22,076|
Fri, Apr 15, 2005|8:00p|Philadelphia 76ers|90|Indiana Pacers|86|Box Score|18,345|
Fri, Apr 15, 2005|8:00p|Cleveland Cavaliers|111|Washington Wizards|119|Box Score|20,173|
Fri, Apr 15, 2005|8:30p|Orlando Magic|77|Chicago Bulls|117|Box Score|22,442|
Fri, Apr 15, 2005|9:00p|Memphis Grizzlies|102|Denver Nuggets|111|Box Score|19,735|
Fri, Apr 15, 2005|9:00p|Minnesota Timberwolves|100|Utah Jazz|84|Box Score|18,817|
Fri, Apr 15, 2005|10:00p|Los Angeles Clippers|91|Phoenix Suns|98|Box Score|18,422|
Fri, Apr 15, 2005|10:30p|Portland Trail Blazers|88|Golden State Warriors|108|Box Score|16,389|
Fri, Apr 15, 2005|10:30p|Sacramento Kings|115|Los Angeles Lakers|106|Box Score|18,997|
Fri, Apr 15, 2005|10:30p|New Orleans Hornets|72|Seattle SuperSonics|97|Box Score|17,072|
Sat, Apr 16, 2005|1:00p|New York Knicks|100|Charlotte Bobcats|98|Box Score|17,615|
Sat, Apr 16, 2005|7:00p|Chicago Bulls|114|Atlanta Hawks|105|Box Score|19,445|
Sat, Apr 16, 2005|7:30p|Denver Nuggets|87|Houston Rockets|115|Box Score|18,216|
Sat, Apr 16, 2005|8:30p|Orlando Magic|103|Milwaukee Bucks|113|Box Score|17,516|
Sat, Apr 16, 2005|8:30p|Memphis Grizzlies|75|San Antonio Spurs|97|Box Score|18,797|
Sat, Apr 16, 2005|10:00p|Sacramento Kings|98|Phoenix Suns|116|Box Score|18,422|
Sat, Apr 16, 2005|10:30p|New Orleans Hornets|89|Los Angeles Clippers|94|Box Score|19,060|
Sun, Apr 17, 2005|1:00p|Cleveland Cavaliers|87|Detroit Pistons|90|Box Score|22,076|
Sun, Apr 17, 2005|1:00p|Charlotte Bobcats|104|Washington Wizards|106|Box Score|17,117|
Sun, Apr 17, 2005|3:30p|Dallas Mavericks|114|Los Angeles Lakers|112|Box Score|18,237|
Sun, Apr 17, 2005|3:30p|Indiana Pacers|80|Miami Heat|84|Box Score|20,187|
Sun, Apr 17, 2005|3:30p|Seattle SuperSonics|109|Minnesota Timberwolves|94|Box Score|17,779|
Sun, Apr 17, 2005|6:00p|Philadelphia 76ers|83|New Jersey Nets|104|Box Score|20,174|
Sun, Apr 17, 2005|6:00p|Boston Celtics|103|Toronto Raptors|98|Box Score|18,797|
Sun, Apr 17, 2005|7:30p|Atlanta Hawks|139|New York Knicks|135|Box Score|OT|19,763
Sun, Apr 17, 2005|8:00p|Utah Jazz|82|Portland Trail Blazers|100|Box Score|18,842|
Mon, Apr 18, 2005|7:00p|Indiana Pacers|88|Orlando Magic|92|Box Score|13,526|
Mon, Apr 18, 2005|7:00p|Milwaukee Bucks|106|Philadelphia 76ers|122|Box Score|17,605|
Mon, Apr 18, 2005|8:00p|San Antonio Spurs|92|Memphis Grizzlies|94|Box Score|17,183|
Mon, Apr 18, 2005|8:00p|Minnesota Timberwolves|102|New Orleans Hornets|99|Box Score|15,234|
Mon, Apr 18, 2005|8:30p|Los Angeles Clippers|90|Houston Rockets|115|Box Score|16,582|
Mon, Apr 18, 2005|9:00p|Sacramento Kings|82|Utah Jazz|92|Box Score|18,603|
Mon, Apr 18, 2005|10:00p|Denver Nuggets|114|Phoenix Suns|128|Box Score|18,422|
Mon, Apr 18, 2005|10:30p|Los Angeles Lakers|99|Golden State Warriors|126|Box Score|20,024|
Tue, Apr 19, 2005|7:00p|Boston Celtics|86|Cleveland Cavaliers|100|Box Score|20,562|
Tue, Apr 19, 2005|7:30p|Detroit Pistons|95|Atlanta Hawks|68|Box Score|19,445|
Tue, Apr 19, 2005|7:30p|Charlotte Bobcats|80|Miami Heat|99|Box Score|19,858|
Tue, Apr 19, 2005|7:30p|Washington Wizards|101|New Jersey Nets|109|Box Score|16,717|
Tue, Apr 19, 2005|8:00p|Toronto Raptors|127|Milwaukee Bucks|109|Box Score|13,947|
Tue, Apr 19, 2005|8:30p|New York Knicks|91|Chicago Bulls|92|Box Score|22,276|
Tue, Apr 19, 2005|8:30p|Seattle SuperSonics|96|Dallas Mavericks|101|Box Score|20,534|
Tue, Apr 19, 2005|9:00p|Portland Trail Blazers|115|Denver Nuggets|119|Box Score|19,099|
Wed, Apr 20, 2005|7:00p|New Jersey Nets|102|Boston Celtics|93|Box Score|18,624|
Wed, Apr 20, 2005|7:00p|Detroit Pistons|86|Charlotte Bobcats|97|Box Score|18,014|
Wed, Apr 20, 2005|7:00p|Miami Heat|98|Orlando Magic|93|Box Score|16,812|
Wed, Apr 20, 2005|7:00p|Atlanta Hawks|86|Philadelphia 76ers|110|Box Score|19,840|
Wed, Apr 20, 2005|7:00p|Cleveland Cavaliers|104|Toronto Raptors|95|Box Score|19,800|
